,Cluster,SITE,STATION,PREFIX,PAIRED,CHANNEL,TYPE,UTM_ZONE,EASTING,NORTHING,Ellipsoidal_Ht,Ortho_Ht,NOTES,array_folder_name,point_folder_name
65,3,9,16,SBT-03-09-16,SBT-03-09-45,1,EXTMIC,12,438639.1774,6108441.624,653.9729,676.8629,,SBT-3-9,SBT-3-9-16
66,3,9,17,SBT-03-09-17,SBT-03-09-18,0,EXTMIC,12,438674.6456,6108442.529,652.6328,675.5228,,SBT-3-9,SBT-3-9-17
67,3,9,18,SBT-03-09-18,SBT-03-09-17,1,EXTMIC,12,438712.274,6108438.778,651.9329,674.8229,,SBT-3-9,SBT-3-9-18
68,3,9,19,SBT-03-09-19,SBT-03-09-20,0,ARU,12,438746.5871,6108437.646,651.9404,674.8304,,SBT-3-9,SBT-3-9-19
69,3,9,20,SBT-03-09-20,SBT-03-09-19,1,EXTMIC,12,438780.6385,6108437.247,649.9313,672.8213,,SBT-3-9,SBT-3-9-20
70,3,9,21,SBT-03-09-21,SBT-03-09-50,1,EXTMIC,12,438636.4088,6108401.018,652.1081,674.9981,,SBT-3-9,SBT-3-9-21
71,3,9,22,SBT-03-09-22,SBT-03-09-23,0,ARU,12,438676.1689,6108405.511,655.2067,678.0967,,SBT-3-9,SBT-3-9-22
72,3,9,23,SBT-03-09-23,SBT-03-09-22,1,EXTMIC,12,438709.2932,6108403.372,655.1589,678.0489,,SBT-3-9,SBT-3-9-23
73,3,9,24,SBT-03-09-24,SBT-03-09-25,0,ARU,12,438744.0761,6108402.606,651.3637,674.2537,,SBT-3-9,SBT-3-9-24
74,3,9,25,SBT-03-09-25,SBT-03-09-24,1,EXTMIC,12,438781.5167,6108402.348,651.8804,674.7704,,SBT-3-9,SBT-3-9-25
75,3,9,26,SBT-03-09-26,SBT-03-09-27,0,ARU,12,438468.575,6108545.045,654.7002,677.5902,,SBT-3-9,SBT-3-9-26
76,3,9,27,SBT-03-09-27,SBT-03-09-26,1,EXTMIC,12,438500.1148,6108541.48,660.5149,683.4049,,SBT-3-9,SBT-3-9-27
77,3,9,28,SBT-03-09-28,SBT-03-09-29,0,ARU,12,438529.9514,6108541.569,654.349,677.239,,SBT-3-9,SBT-3-9-28
78,3,9,29,SBT-03-09-29,SBT-03-09-28,1,EXTMIC,12,438570.6842,6108545.75,655.0691,677.9591,,SBT-3-9,SBT-3-9-29
79,3,9,30,SBT-03-09-30,SBT-03-09-01,0,ARU,12,438614.2046,6108541.689,656.0776,678.9676,,SBT-3-9,SBT-3-9-30
